Month,Day,Year,Hour,UCDdemand_kW
1,10,2023,15,24694
1,10,2023,16,24367
1,10,2023,17,24460
1,10,2023,18,23654
1,10,2023,19,22776
1,10,2023,20,22344
1,10,2023,21,21304
1,10,2023,22,20840
1,10,2023,23,20088
1,11,2023,0,19320
1,11,2023,1,18888
1,11,2023,2,18696
1,11,2023,3,18744
1,11,2023,4,19043
1,11,2023,5,20504
1,11,2023,6,21864
1,11,2023,7,23717
1,11,2023,8,24302
1,11,2023,9,25094
1,11,2023,10,25465
1,11,2023,11,25323
1,11,2023,12,25352
1,11,2023,13,25378
1,11,2023,14,27012
1,11,2023,15,28198
1,11,2023,16,27771
1,11,2023,17,27333
1,11,2023,18,26824
1,11,2023,19,25528
1,11,2023,20,25384
1,11,2023,21,24312
1,11,2023,22,23096
1,11,2023,23,22168
1,12,2023,0,21321
1,12,2023,1,21000
1,12,2023,2,20728
1,12,2023,3,20616
1,12,2023,4,20552
1,12,2023,5,20904
1,12,2023,6,21640
1,12,2023,7,23203
1,12,2023,8,24134
1,12,2023,9,24349
1,12,2023,10,24626
1,12,2023,11,24845
1,12,2023,12,24603
1,12,2023,13,24518
1,12,2023,14,24621
1,12,2023,15,24382
1,12,2023,16,24023
1,12,2023,17,24183
1,12,2023,18,23703
1,12,2023,19,23047
1,12,2023,20,23366
1,12,2023,21,22454
1,12,2023,22,20518
1,12,2023,23,19878
1,13,2023,0,18854
1,13,2023,1,18374
1,13,2023,2,18342
1,13,2023,3,18327
1,13,2023,4,18679
1,13,2023,5,19912
1,13,2023,6,21336
1,13,2023,7,23162
1,13,2023,8,23859
1,13,2023,9,24615
1,13,2023,10,25377
1,13,2023,11,25778
1,13,2023,12,25702
1,13,2023,13,25372
1,13,2023,14,24764
1,13,2023,15,24417
1,13,2023,16,24090
1,13,2023,17,23797
1,13,2023,18,23128
1,13,2023,19,22088
1,13,2023,20,21512
1,13,2023,21,20920
1,13,2023,22,20152
1,13,2023,23,20552
1,14,2023,0,21512
1,14,2023,1,21384
1,14,2023,2,21192
1,14,2023,3,20888
1,14,2023,4,20824
1,14,2023,5,21608
1,14,2023,6,22487
1,14,2023,7,23181
1,14,2023,8,23410
1,14,2023,9,23607
1,14,2023,10,23779
1,14,2023,11,23543
1,14,2023,12,23356
1,14,2023,13,21604
1,14,2023,14,20918
1,14,2023,15,21174
1,14,2023,16,20971
1,14,2023,17,21167
1,14,2023,18,20998
1,14,2023,19,20664
1,14,2023,20,20392
1,14,2023,21,19720
1,14,2023,22,19224
1,14,2023,23,18648
1,15,2023,0,18632
1,15,2023,1,18552
1,15,2023,2,18392
1,15,2023,3,18391
1,15,2023,4,18598
1,15,2023,5,18951
1,15,2023,6,19400
1,15,2023,7,19946
1,15,2023,8,20097
1,15,2023,9,20263
1,15,2023,10,20236
1,15,2023,11,20567
1,15,2023,12,20848
1,15,2023,13,20805
1,15,2023,14,20695
1,15,2023,15,20687
1,15,2023,16,20940
1,15,2023,17,21350
1,15,2023,18,20760
1,15,2023,19,20536
1,15,2023,20,20296
1,15,2023,21,19640
1,15,2023,22,19304
1,15,2023,23,18776
1,16,2023,0,18664
1,16,2023,1,18696
1,16,2023,2,18504
1,16,2023,3,18544
1,16,2023,4,18847
1,16,2023,5,19955
1,16,2023,6,20547
1,16,2023,7,20824
1,16,2023,8,20690
1,16,2023,9,20328
1,16,2023,10,20683
1,16,2023,11,20686
1,16,2023,12,20874
1,16,2023,13,20846
1,16,2023,14,20954
1,16,2023,15,21002
1,16,2023,16,20915
1,16,2023,17,21761
1,16,2023,18,21655
1,16,2023,19,21318
1,16,2023,20,21062
1,16,2023,21,20502
1,16,2023,22,19446
1,16,2023,23,19351
1,17,2023,0,21128
1,17,2023,1,21560
1,17,2023,2,21288
1,17,2023,3,21412
1,17,2023,4,21942
1,17,2023,5,23205
1,17,2023,6,24692
1,17,2023,7,26486
1,17,2023,8,26974
1,17,2023,9,27730
1,17,2023,10,27980
1,17,2023,11,27841
1,17,2023,12,27020
1,17,2023,13,26598
1,17,2023,14,24881
1,17,2023,15,24761
1,17,2023,16,24296
1,17,2023,17,24469
1,17,2023,18,24166
1,17,2023,19,23398
1,17,2023,20,22790
1,17,2023,21,21814
1,17,2023,22,20774
1,17,2023,23,20263
1,18,2023,0,19752
1,18,2023,1,19672
1,18,2023,2,19304
1,18,2023,3,19187
1,18,2023,4,19718
1,18,2023,5,21172
1,18,2023,6,22755
1,18,2023,7,24353
1,18,2023,8,25014
1,18,2023,9,25429
1,18,2023,10,25568
1,18,2023,11,25469
1,18,2023,12,25130
1,18,2023,13,25005
1,18,2023,14,25130
1,18,2023,15,25209
1,18,2023,16,24870
1,18,2023,17,24660
1,18,2023,18,24134
1,18,2023,19,22993
1,18,2023,20,22379
1,18,2023,21,21591
1,18,2023,22,20750
1,18,2023,23,19848
1,19,2023,0,19325
1,19,2023,1,19138
1,19,2023,2,18898
1,19,2023,3,18066
1,19,2023,4,19420
1,19,2023,5,21786
1,19,2023,6,22392
1,19,2023,7,24274
1,19,2023,8,24553
1,19,2023,9,27437
1,19,2023,10,26631
1,19,2023,11,25633
1,19,2023,12,27272
1,19,2023,13,26209
1,19,2023,14,29850
1,19,2023,15,27624
1,19,2023,16,28369
1,19,2023,17,28552
1,19,2023,18,28183
1,19,2023,19,24871
1,19,2023,20,26084
1,19,2023,21,24186
1,19,2023,22,23768
1,19,2023,23,23813
1,20,2023,0,22091
1,20,2023,1,22910
1,20,2023,2,21522
1,20,2023,3,22021
1,20,2023,4,19739
