Hours since 00:00 Jan 1,Lifetime Hourly Data: Electricity to grid (kW),Lifetime Hourly Data: Electricity to grid (kW)
304.5,3564.57,3564.57
305.5,0,0
306.5,0,0
307.5,0,0
308.5,0,0
309.5,0,0
310.5,0,0
311.5,0,0
312.5,0,0
313.5,0,0
314.5,0,0
315.5,0,0
316.5,0,0
317.5,0,0
318.5,0,0
319.5,0,0
320.5,2409.23,2409.23
321.5,4910.8,4910.8
322.5,9874.58,9874.58
323.5,10037.6,10037.6
324.5,7005.08,7005.08
325.5,5050.02,5050.02
326.5,2225.44,2225.44
327.5,1055.58,1055.58
328.5,175.832,175.832
329.5,0,0
330.5,0,0
331.5,0,0
332.5,0,0
333.5,0,0
334.5,0,0
335.5,0,0
336.5,0,0
337.5,0,0
338.5,0,0
339.5,0,0
340.5,0,0
341.5,0,0
342.5,0,0
343.5,0,0
344.5,2270.98,2270.98
345.5,6144.83,6144.83
346.5,2265.86,2265.86
347.5,5470.41,5470.41
348.5,7180.92,7180.92
349.5,3077.2,3077.2
350.5,639.491,639.491
351.5,399.954,399.954
352.5,550.471,550.471
353.5,0,0
354.5,0,0
355.5,0,0
356.5,0,0
357.5,0,0
358.5,0,0
359.5,0,0
360.5,0,0
361.5,0,0
362.5,0,0
363.5,0,0
364.5,0,0
365.5,0,0
366.5,0,0
367.5,0,0
368.5,792.499,792.499
369.5,3210.97,3210.97
370.5,5893.52,5893.52
371.5,1296.38,1296.38
372.5,2132.15,2132.15
373.5,1256.11,1256.11
374.5,473.945,473.945
375.5,673.927,673.927
376.5,176.518,176.518
377.5,0,0
378.5,0,0
379.5,0,0
380.5,0,0
381.5,0,0
382.5,0,0
383.5,0,0
384.5,0,0
385.5,0,0
386.5,0,0
387.5,0,0
388.5,0,0
389.5,0,0
390.5,0,0
391.5,8.81503,8.81503
392.5,3434.59,3434.59
393.5,25628.9,25628.9
394.5,19719.4,19719.4
395.5,14934.8,14934.8
396.5,11167.7,11167.7
397.5,13292,13292
398.5,17580.4,17580.4
399.5,8504.99,8504.99
400.5,1363.33,1363.33
401.5,0,0
402.5,0,0
403.5,0,0
404.5,0,0
405.5,0,0
406.5,0,0
407.5,0,0
408.5,0,0
409.5,0,0
410.5,0,0
411.5,0,0
412.5,0,0
413.5,0,0
414.5,0,0
415.5,0,0
416.5,2384.95,2384.95
417.5,12962.2,12962.2
418.5,14906.7,14906.7
419.5,12859.8,12859.8
420.5,12431.2,12431.2
421.5,10796.8,10796.8
422.5,12758.3,12758.3
423.5,3522.75,3522.75
424.5,1902.6,1902.6
425.5,0,0
426.5,0,0
427.5,0,0
428.5,0,0
429.5,0,0
430.5,0,0
431.5,0,0
432.5,0,0
433.5,0,0
434.5,0,0
435.5,0,0
436.5,0,0
437.5,0,0
438.5,0,0
439.5,34.102,34.102
440.5,6545.75,6545.75
441.5,17271.8,17271.8
442.5,16185.5,16185.5
443.5,18264.5,18264.5
444.5,20786,20786
445.5,25050.8,25050.8
446.5,24780.2,24780.2
447.5,17666.7,17666.7
448.5,4532.73,4532.73
449.5,0,0
450.5,0,0
451.5,0,0
452.5,0,0
453.5,0,0
454.5,0,0
455.5,0,0
456.5,0,0
457.5,0,0
458.5,0,0
459.5,0,0
460.5,0,0
461.5,0,0
462.5,0,0
463.5,0,0
464.5,946.438,946.438
465.5,7591.48,7591.48
466.5,11537.7,11537.7
467.5,8775.85,8775.85
468.5,13762.6,13762.6
469.5,26303.4,26303.4
470.5,27619.6,27619.6
471.5,11181.1,11181.1
472.5,1457.27,1457.27
473.5,0,0
474.5,0,0
475.5,0,0
476.5,0,0
477.5,0,0
478.5,0,0
479.5,0,0
480.5,0,0
481.5,0,0
482.5,0,0
483.5,0,0
484.5,0,0
485.5,0,0
486.5,0,0
487.5,3403.56,3403.56
488.5,24892.5,24892.5
489.5,30300,30300
490.5,29583.2,29583.2
491.5,27001.1,27001.1
492.5,26016.2,26016.2
493.5,27871.3,27871.3
494.5,30064.2,30064.2
495.5,28782.4,28782.4
496.5,19445.5,19445.5
497.5,0,0
498.5,0,0
499.5,0,0
500.5,0,0
501.5,0,0
502.5,0,0
503.5,0,0
504.5,0,0
505.5,0,0
506.5,0,0
507.5,0,0
508.5,0,0
509.5,0,0
510.5,0,0
511.5,3813.47,3813.47
512.5,10718.5,10718.5
513.5,26828,26828
514.5,29759.6,29759.6
515.5,24453.3,24453.3
516.5,26525.4,26525.4
517.5,26860.2,26860.2
518.5,29680.4,29680.4
519.5,28306.2,28306.2
520.5,16843.7,16843.7
521.5,0,0
522.5,0,0
523.5,0,0
524.5,0,0
525.5,0,0
526.5,0,0
527.5,0,0
528.5,0,0
529.5,0,0
530.5,0,0
531.5,0,0
532.5,0,0
533.5,0,0
534.5,0,0
535.5,3331.24,3331.24
536.5,24730.7,24730.7
537.5,30351.1,30351.1
538.5,29681.2,29681.2
539.5,27292.6,27292.6
540.5,26184.1,26184.1
541.5,27810.2,27810.2
542.5,29657.1,29657.1
543.5,27663.1,27663.1
544.5,18399.2,18399.2
545.5,0,0
546.5,0,0
547.5,0,0
548.5,0,0
549.5,0,0
550.5,0,0
551.5,0,0
552.5,0,0
553.5,0,0
554.5,0,0
555.5,0,0
556.5,0,0
557.5,0,0
558.5,0,0
559.5,3735.68,3735.68
560.5,26210.7,26210.7
561.5,31676.1,31676.1
562.5,30704.6,30704.6
563.5,28043.6,28043.6
564.5,26929,26929
565.5,28564.7,28564.7
566.5,30683,30683
567.5,29509.6,29509.6
568.5,20651.2,20651.2
569.5,0,0
570.5,0,0
571.5,0,0
572.5,0,0
573.5,0,0
574.5,0,0
575.5,0,0
576.5,0,0
577.5,0,0
578.5,0,0
579.5,0,0
580.5,0,0
581.5,0,0
582.5,0,0
583.5,2449.72,2449.72
584.5,27010.6,27010.6
585.5,32046.3,32046.3
586.5,31045,31045
587.5,28481,28481
588.5,27369.1,27369.1
589.5,28993.3,28993.3
590.5,31264.5,31264.5
591.5,29666.9,29666.9
592.5,21208.2,21208.2
593.5,0,0
594.5,0,0
595.5,0,0
596.5,0,0
597.5,0,0
598.5,0,0
599.5,0,0
600.5,0,0
601.5,0,0
602.5,0,0
603.5,0,0
604.5,0,0
605.5,0,0
606.5,0,0
607.5,250.135,250.135
608.5,8957.16,8957.16
609.5,20040.6,20040.6
610.5,21310.8,21310.8
611.5,21780.7,21780.7
612.5,21168.1,21168.1
613.5,17917.4,17917.4
614.5,19275.7,19275.7
615.5,8449.44,8449.44
616.5,3357.69,3357.69
617.5,0,0
618.5,0,0
619.5,0,0
620.5,0,0
621.5,0,0
622.5,0,0
623.5,0,0
624.5,0,0
625.5,0,0
626.5,0,0
627.5,0,0
628.5,0,0
629.5,0,0
630.5,0,0
631.5,2841.03,2841.03
632.5,24959.6,24959.6
633.5,30928.8,30928.8
634.5,30160.8,30160.8
635.5,27806.8,27806.8
636.5,26659.7,26659.7
637.5,28083.9,28083.9
638.5,30111.4,30111.4
639.5,28443.3,28443.3
640.5,20133.9,20133.9
641.5,0,0
642.5,0,0
643.5,0,0
644.5,0,0
645.5,0,0
646.5,0,0
647.5,0,0
648.5,0,0
649.5,0,0
650.5,0,0
651.5,0,0
652.5,0,0
653.5,0,0
654.5,0,0
655.5,138.804,138.804
656.5,6801.57,6801.57
657.5,18299.3,18299.3
658.5,12498.7,12498.7
659.5,18713.3,18713.3
660.5,26717.2,26717.2
661.5,23360,23360
662.5,22390.2,22390.2
663.5,18047.1,18047.1
664.5,5325.44,5325.44
665.5,0,0
666.5,0,0
667.5,0,0
668.5,0,0
669.5,0,0
670.5,0,0
671.5,0,0
672.5,0,0
673.5,0,0
674.5,0,0
675.5,0,0
676.5,0,0
677.5,0,0
678.5,0,0
679.5,3979.36,3979.36
680.5,24695.2,24695.2
681.5,30107.7,30107.7
682.5,29436.4,29436.4
683.5,24974.5,24974.5
684.5,24395.8,24395.8
685.5,24813.9,24813.9
686.5,26188.2,26188.2
687.5,25374,25374
688.5,6034.28,6034.28
689.5,0,0
690.5,0,0
691.5,0,0
692.5,0,0
693.5,0,0
694.5,0,0
695.5,0,0
696.5,0,0
697.5,0,0
698.5,0,0
699.5,0,0
700.5,0,0
701.5,0,0
702.5,0,0
703.5,3038.67,3038.67
704.5,4946.47,4946.47
705.5,16182,16182
706.5,23002.6,23002.6
707.5,27126.4,27126.4
708.5,26009.5,26009.5
709.5,27410.3,27410.3
710.5,29042.8,29042.8
711.5,27386.4,27386.4
712.5,18688.3,18688.3
713.5,0,0
714.5,0,0
715.5,0,0
716.5,0,0
717.5,0,0
718.5,0,0
719.5,0,0
720.5,0,0
721.5,0,0
722.5,0,0
723.5,0,0
724.5,0,0
725.5,0,0
726.5,0,0
727.5,2382.57,2382.57
728.5,21707.4,21707.4
729.5,28091.3,28091.3
730.5,28312.9,28312.9
731.5,26506.8,26506.8
732.5,25757.6,25757.6
733.5,27378.8,27378.8
734.5,28997.3,28997.3
735.5,27067.4,27067.4
736.5,18516,18516
737.5,0,0
738.5,0,0
739.5,0,0
740.5,0,0
741.5,0,0
742.5,0,0
743.5,0,0
744.5,0,0
745.5,0,0
746.5,0,0
747.5,0,0
748.5,0,0
749.5,0,0
750.5,0,0
751.5,149.479,149.479
752.5,12226.3,12226.3
753.5,4839.15,4839.15
754.5,9751.01,9751.01
755.5,18086,18086
756.5,13816.3,13816.3
757.5,10931.5,10931.5
758.5,4284.46,4284.46
759.5,1752.11,1752.11
760.5,507.634,507.634
761.5,0,0
762.5,0,0
763.5,0,0
764.5,0,0
765.5,0,0
766.5,0,0
767.5,0,0
768.5,0,0
769.5,0,0
770.5,0,0
771.5,0,0
772.5,0,0
773.5,0,0
774.5,0,0
