Hours since 00:00 Jan 1,Lifetime Hourly Data: Electricity from grid to system (kW),Lifetime Hourly Data: Electricity from grid to system (kW),Lifetime Hourly Data: System power generated (kW)
169.5,-1.90284,-1.90284,-1.90284
170.5,-1.90284,-1.90284,-1.90284
171.5,-1.90284,-1.90284,-1.90284
172.5,-1.90284,-1.90284,-1.90284
173.5,-1.90284,-1.90284,-1.90284
174.5,-1.90284,-1.90284,-1.90284
175.5,-1.90284,-1.90284,-1.90284
176.5,0,0,1382.76
177.5,0,0,16484.2
178.5,0,0,9624.02
179.5,0,0,9485.56
180.5,0,0,10519.7
181.5,0,0,6558.14
182.5,0,0,7212.13
183.5,0,0,2465.79
184.5,0,0,285.794
185.5,-1.90284,-1.90284,-1.90284
186.5,-1.90284,-1.90284,-1.90284
187.5,-1.90284,-1.90284,-1.90284
188.5,-1.90284,-1.90284,-1.90284
189.5,-1.90284,-1.90284,-1.90284
190.5,-1.90284,-1.90284,-1.90284
191.5,-1.90284,-1.90284,-1.90284
192.5,-1.90284,-1.90284,-1.90284
193.5,-1.90284,-1.90284,-1.90284
194.5,-1.90284,-1.90284,-1.90284
195.5,-1.90284,-1.90284,-1.90284
196.5,-1.90284,-1.90284,-1.90284
197.5,-1.90284,-1.90284,-1.90284
198.5,-1.90284,-1.90284,-1.90284
199.5,-1.90284,-1.90284,-1.90284
200.5,0,0,4188
201.5,0,0,19249.7
202.5,0,0,30063.7
203.5,0,0,39600.5
204.5,0,0,28715.5
205.5,0,0,21270.4
206.5,0,0,21174
207.5,0,0,12623.8
208.5,0,0,3300.62
209.5,-1.90284,-1.90284,-1.90284
210.5,-1.90284,-1.90284,-1.90284
211.5,-1.90284,-1.90284,-1.90284
212.5,-1.90284,-1.90284,-1.90284
213.5,-1.90284,-1.90284,-1.90284
214.5,-1.90284,-1.90284,-1.90284
215.5,-1.90284,-1.90284,-1.90284
216.5,-1.90284,-1.90284,-1.90284
217.5,-1.90284,-1.90284,-1.90284
218.5,-1.90284,-1.90284,-1.90284
219.5,-1.90284,-1.90284,-1.90284
220.5,-1.90284,-1.90284,-1.90284
221.5,-1.90284,-1.90284,-1.90284
222.5,-1.90284,-1.90284,-1.90284
223.5,0,0,3007
224.5,0,0,40684.9
225.5,0,0,20864.2
226.5,0,0,29846.6
227.5,0,0,19618.3
228.5,0,0,14721.8
229.5,0,0,12623.3
230.5,0,0,10455.7
231.5,0,0,43182.9
232.5,0,0,22422.4
233.5,-1.90284,-1.90284,-1.90284
234.5,-1.90284,-1.90284,-1.90284
235.5,-1.90284,-1.90284,-1.90284
236.5,-1.90284,-1.90284,-1.90284
237.5,-1.90284,-1.90284,-1.90284
238.5,-1.90284,-1.90284,-1.90284
239.5,-1.90284,-1.90284,-1.90284
240.5,-1.90284,-1.90284,-1.90284
241.5,-1.90284,-1.90284,-1.90284
242.5,-1.90284,-1.90284,-1.90284
243.5,-1.90284,-1.90284,-1.90284
244.5,-1.90284,-1.90284,-1.90284
245.5,-1.90284,-1.90284,-1.90284
246.5,-1.90284,-1.90284,-1.90284
247.5,-1.90284,-1.90284,-1.90284
248.5,0,0,11450.8
249.5,0,0,13160.6
250.5,0,0,20094.9
251.5,0,0,26757.2
252.5,0,0,20405.6
253.5,0,0,27838.1
254.5,0,0,21425.6
255.5,0,0,5724.32
256.5,0,0,2886.82
257.5,-1.90284,-1.90284,-1.90284
258.5,-1.90284,-1.90284,-1.90284
259.5,-1.90284,-1.90284,-1.90284
260.5,-1.90284,-1.90284,-1.90284
261.5,-1.90284,-1.90284,-1.90284
262.5,-1.90284,-1.90284,-1.90284
263.5,-1.90284,-1.90284,-1.90284
264.5,-1.90284,-1.90284,-1.90284
265.5,-1.90284,-1.90284,-1.90284
266.5,-1.90284,-1.90284,-1.90284
267.5,-1.90284,-1.90284,-1.90284
268.5,-1.90284,-1.90284,-1.90284
269.5,-1.90284,-1.90284,-1.90284
270.5,-1.90284,-1.90284,-1.90284
271.5,0,0,29.0676
272.5,0,0,36417.5
273.5,0,0,50112.3
274.5,0,0,50798.4
275.5,0,0,46591.1
276.5,0,0,45219.7
277.5,0,0,49061
278.5,0,0,52532.5
279.5,0,0,47955.8
280.5,0,0,26437
281.5,-1.90284,-1.90284,-1.90284
282.5,-1.90284,-1.90284,-1.90284
283.5,-1.90284,-1.90284,-1.90284
284.5,-1.90284,-1.90284,-1.90284
285.5,-1.90284,-1.90284,-1.90284
286.5,-1.90284,-1.90284,-1.90284
287.5,-1.90284,-1.90284,-1.90284
288.5,-1.90284,-1.90284,-1.90284
289.5,-1.90284,-1.90284,-1.90284
290.5,-1.90284,-1.90284,-1.90284
291.5,-1.90284,-1.90284,-1.90284
292.5,-1.90284,-1.90284,-1.90284
293.5,-1.90284,-1.90284,-1.90284
294.5,-1.90284,-1.90284,-1.90284
295.5,0,0,2801.4
296.5,0,0,40028.8
297.5,0,0,52492.7
298.5,0,0,52411.2
299.5,0,0,47200.5
300.5,0,0,39416
301.5,0,0,46510.3
302.5,0,0,35476.2
303.5,0,0,25353.3
304.5,0,0,6859.29
305.5,-1.90284,-1.90284,-1.90284
