Number of Turbines,Annual Installation Cost,Annual Operation/Maintenance Cost,Annual Cost of Purchasing Electricity,Annual Revenue from Selling Surplus,Total Energy Produced (kWh),Total Demand (kWh),Total Energy Balance (kWh),Cost of Grid Without Renewables,Annual Net Operating Cost,Savings From Implementation of System
35,136500000,3238139.627044848,42455523.278062835,4947929.378402356,215875975.1363232,233522188.9,-17646213.763676792,9914306726788136.0,-40745733.526705325,-9914306767533870.0
36,140400000,3330657.902103272,42138419.05355349,5170918.3549593855,222043860.14021814,233522188.9,-11478328.759781867,9840255854171278.0,-40298158.600697376,-9840255894469436.0
37,144300000,3423176.177161697,41828260.97930965,5394811.284308291,228211745.14411312,233522188.9,-5310443.755886883,9767827061768846.0,-39856625.87216306,-9767827101625472.0
38,148200000,3515694.4522201205,41525739.21616547,5619695.088691935,234379630.14800805,233522188.9,857441.2480080426,9697181517449530.0,-39421738.57969365,-9697181556871268.0
39,152100000,3608212.727278545,41230888.798483565,5845547.800034556,240547515.151903,233522188.9,7025326.2519029975,9628327402514374.0,-38993553.72572756,-9628327441507928.0
40,156000000,3700731.002336969,40943140.705821276,6072328.04358076,246715400.15579796,233522188.9,13193211.255797952,9561131838064076.0,-38571543.664577484,-9561131876635620.0
41,159900000,3793249.277395394,40662972.6072904,6300072.008239018,252883285.15969294,233522188.9,19361096.259692937,9495706370435196.0,-38156149.876446776,-9495706408591346.0
42,163800000,3885767.552453818,40388495.56372531,6528532.888926799,259051170.16358787,233522188.9,25528981.263587862,9431609890419074.0,-37745730.22725233,-9431609928164804.0
43,167700000,3978285.827512242,40118570.18012732,6757576.416144225,265219055.1674828,233522188.9,31696866.267482787,9368576324001600.0,-37339279.59149534,-9368576361340880.0
44,171600000,4070804.1025706655,39854581.822504394,6987380.154205541,271386940.1713777,233522188.9,37864751.27137771,9306929184885378.0,-36938005.770869516,-9306929221823384.0
45,175500000,4163322.3776290906,39597205.078881115,7218045.098337727,277554825.1752727,233522188.9,44032636.2752727,9246826004342516.0,-36542482.35817248,-9246826040884998.0
46,179400000,4255840.652687513,39346618.80481287,7449573.651285427,283722710.17916757,233522188.9,50200521.27916756,9188308549113804.0,-36152885.80621496,-9188308585266690.0
47,183300000,4348358.927745938,39101547.415353544,7681813.4550247695,289890595.18306255,233522188.9,56368406.28306255,9131078941810498.0,-35768092.88807471,-9131078977578590.0
48,187200000,4440877.202804362,38860295.30959441,7914549.231250544,296058480.1869575,233522188.9,62536291.28695747,9074741221996890.0,-35386623.281148225,-9074741257383514.0
49,191100000,4533395.4778627865,38624117.94636319,8147923.2349138735,302226365.19085246,233522188.9,68704176.29085246,9019588567166504.0,-35009590.1893121,-9019588602176094.0
