Year,Month,Day,Hour,Minute,surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa),wind speed at 60m (m/s),wind direction at 60m (deg),air temperature at 60m (C)
2014,1,1,0,30,102060,100840,99650,3.59,345.28,13.14
2014,1,1,1,30,102060,100840,99650,1.29,307.42,11.57
2014,1,1,2,30,102040,100820,99620,1.8,203.09,10.6
2014,1,1,3,30,102040,100810,99620,3.03,194.67,11.31
2014,1,1,4,30,102050,100820,99630,1.91,208.22,11.97
2014,1,1,5,30,102070,100850,99650,2.17,217.95,11.1
2014,1,1,6,30,102060,100830,99630,1.8,340.69,10.88
2014,1,1,7,30,102080,100840,99630,2.65,0.7,9.36
2014,1,1,8,30,102090,100850,99640,2.55,0.79,8.31
2014,1,1,9,30,102100,100870,99650,2.09,5.03,9.07
2014,1,1,10,30,102090,100860,99660,2.11,14.62,10.66
2014,1,1,11,30,102060,100840,99640,1.75,31.81,12.39
2014,1,1,12,30,102030,100820,99630,1.46,29.56,14.17
2014,1,1,13,30,101980,100780,99590,1.5,31.32,15.64
2014,1,1,14,30,101920,100720,99540,1.55,35.05,16.73
2014,1,1,15,30,101910,100710,99530,1.34,49.42,17.02
2014,1,1,16,30,101890,100700,99510,1.55,80.76,16.53
2014,1,1,17,30,101910,100710,99520,1.08,86.83,16.26
2014,1,1,18,30,101900,100700,99520,1.39,95.83,15.87
2014,1,1,19,30,101910,100710,99520,0.53,115.95,15.81
2014,1,1,20,30,101930,100730,99540,0.16,247.46,15.16
2014,1,1,21,30,101960,100750,99560,0.15,192.62,15.28
2014,1,1,22,30,101980,100770,99580,0.66,59.87,15.29
2014,1,1,23,30,102000,100790,99600,1.72,61.57,13.92
2014,1,2,0,30,102020,100810,99620,1.4,43.17,14.34
2014,1,2,1,30,102010,100790,99600,1.12,357.6,13.83
2014,1,2,2,30,102000,100780,99580,2.08,335.31,13.19
2014,1,2,3,30,102000,100780,99580,2.62,347.53,13.08
2014,1,2,4,30,102020,100790,99600,2.58,11.48,11.72
2014,1,2,5,30,102020,100790,99590,3.65,11.68,11.12
2014,1,2,6,30,102020,100790,99590,3.92,10.79,11
2014,1,2,7,30,102040,100810,99610,4.03,3.94,10.86
2014,1,2,8,30,102040,100820,99610,4.58,3.79,10.41
2014,1,2,9,30,102040,100810,99610,4.17,0.52,10.56
2014,1,2,10,30,102010,100790,99600,2.95,359.81,12.34
2014,1,2,11,30,101970,100760,99570,2.44,358.85,14.32
2014,1,2,12,30,101920,100720,99540,1.97,9.1,15.99
2014,1,2,13,30,101850,100650,99470,2.33,7.93,17.31
2014,1,2,14,30,101780,100580,99410,2.51,6.73,18
2014,1,2,15,30,101730,100540,99360,2.24,8.19,18.07
2014,1,2,16,30,101700,100500,99330,2.82,28.02,17.57
2014,1,2,17,30,101680,100490,99310,3.09,19.55,17.34
2014,1,2,18,30,101670,100470,99290,2.17,22.18,16.99
2014,1,2,19,30,101670,100470,99300,1.7,7.64,16.62
2014,1,2,20,30,101670,100470,99290,1.19,320.38,15.4
2014,1,2,21,30,101660,100460,99290,1.19,319.88,16.16
2014,1,2,22,30,101660,100460,99280,0.83,326.39,16.11
2014,1,2,23,30,101700,100490,99310,0.08,149.81,15.31
2014,1,3,0,30,101700,100490,99310,0.18,152.23,14.18
2014,1,3,1,30,101670,100460,99280,0.36,65.74,14.02
2014,1,3,2,30,101680,100470,99280,0.56,203.29,13.38
2014,1,3,3,30,101680,100470,99270,0.57,314.69,13.06
2014,1,3,4,30,101680,100460,99270,0.75,337.66,12.93
2014,1,3,5,30,101680,100460,99280,0.39,286.76,12.65
2014,1,3,6,30,101660,100440,99250,1.02,0.02,12.03
2014,1,3,7,30,101680,100460,99270,1.05,348.27,11.73
