Year,Month,Day,Hour,Minute,surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa),wind speed at 100m (m/s),wind direction at 100m (deg),air temperature at 100m (C)
2014,1,1,0,30,83660,82650,81650,13.46,271.1,6.97
2014,1,1,1,30,83730,82690,81690,11.78,270.57,7.29
2014,1,1,2,30,83750,82710,81700,6.6,321.67,4.71
2014,1,1,3,30,83750,82720,81710,4.08,350.04,3.58
2014,1,1,4,30,83830,82780,81760,3.52,17.24,2.77
2014,1,1,5,30,83910,82860,81840,2.52,8.86,2
2014,1,1,6,30,83990,82920,81900,1,244.17,2.13
2014,1,1,7,30,84010,82950,81920,0.32,247.99,2.31
2014,1,1,8,30,84050,82990,81970,2.13,86.51,2.47
2014,1,1,9,30,84130,83110,82080,5.23,57.87,1.41
2014,1,1,10,30,84190,83160,82140,4.27,36.34,1.65
2014,1,1,11,30,84280,83200,82170,5.17,17.47,2.32
2014,1,1,12,30,84320,83230,82210,6.06,9.65,2.85
2014,1,1,13,30,84340,83290,82270,7.13,16.1,2.77
2014,1,1,14,30,84410,83360,82330,9.43,22.85,1.72
2014,1,1,15,30,84510,83440,82400,7.46,25.26,-0.36
2014,1,1,16,30,84580,83540,82500,5.51,14.18,-1.03
2014,1,1,17,30,84650,83600,82560,2.12,42.51,-0.67
2014,1,1,18,30,84680,83640,82610,1.33,309.52,0.34
2014,1,1,19,30,84720,83680,82640,2.79,56.21,-1.75
2014,1,1,20,30,84740,83660,82620,2.17,22.84,-1.24
2014,1,1,21,30,84710,83650,82610,1.44,21.07,-0.97
2014,1,1,22,30,84660,83610,82560,0.9,123.35,-1.02
2014,1,1,23,30,84610,83570,82520,3.72,211.58,-0.77
2014,1,2,0,30,84580,83530,82490,4.19,208.67,-0.8
2014,1,2,1,30,84560,83510,82470,5.41,282.05,1.15
2014,1,2,2,30,84520,83470,82440,7.98,321.3,2.32
2014,1,2,3,30,84500,83440,82410,4.55,336.72,2.32
2014,1,2,4,30,84500,83450,82420,2.48,202,1.7
2014,1,2,5,30,84500,83450,82420,3.2,154.76,1.84
2014,1,2,6,30,84500,83440,82410,3.98,148.26,1.63
2014,1,2,7,30,84480,83420,82390,4.67,147.84,1.67
2014,1,2,8,30,84490,83430,82390,4.03,155.51,1.19
2014,1,2,9,30,84480,83430,82400,3.16,150.47,2.1
2014,1,2,10,30,84430,83400,82380,3.09,157.78,4.14
2014,1,2,11,30,84380,83360,82350,2.45,155.36,5.98
2014,1,2,12,30,84350,83330,82320,2.55,147.5,7.18
2014,1,2,13,30,84320,83290,82280,1.84,163.32,8.05
2014,1,2,14,30,84290,83260,82250,1.19,132.98,8.7
2014,1,2,15,30,84240,83200,82200,2.15,36.32,8.66
2014,1,2,16,30,84210,83180,82180,2.98,35.59,8.22
