Year,Month,Day,Hour,Minute,surface air pressure (Pa),air pressure at 100m (Pa),air pressure at 200m (Pa),wind speed at 160m (m/s),wind direction at 160m (deg),air temperature at 160m (C)
2014,1,1,0,30,83660,82650,81650,14.07,271.44,7.41
2014,1,1,1,30,83730,82690,81690,12.74,275.82,7.12
2014,1,1,2,30,83750,82710,81700,6.81,320.03,4.96
2014,1,1,3,30,83750,82720,81710,3.06,5.11,3.77
2014,1,1,4,30,83830,82780,81760,3.88,29.64,2.62
2014,1,1,5,30,83910,82860,81840,2.15,58.31,2.86
2014,1,1,6,30,83990,82920,81900,2.38,144.61,2.79
2014,1,1,7,30,84010,82950,81920,0.83,254.6,2.36
2014,1,1,8,30,84050,82990,81970,2.36,116.57,2.44
2014,1,1,9,30,84130,83110,82080,5.64,56.2,1.05
2014,1,1,10,30,84190,83160,82140,4.4,35.83,1.04
2014,1,1,11,30,84280,83200,82170,5.3,16.54,1.69
2014,1,1,12,30,84320,83230,82210,6.23,9.27,2.22
2014,1,1,13,30,84340,83290,82270,7.37,15.47,2.14
2014,1,1,14,30,84410,83360,82330,9.76,21.7,1.09
2014,1,1,15,30,84510,83440,82400,7.92,22.53,-0.96
2014,1,1,16,30,84580,83540,82500,6.57,12.26,-1.55
2014,1,1,17,30,84650,83600,82560,2.64,28.24,-1.15
2014,1,1,18,30,84680,83640,82610,2.2,334.93,-0.11
2014,1,1,19,30,84720,83680,82640,3.47,46.02,-2.28
2014,1,1,20,30,84740,83660,82620,2.86,19.73,-1.72
2014,1,1,21,30,84710,83650,82610,1.5,19.47,-1.54
2014,1,1,22,30,84660,83610,82560,0.92,123.7,-1.6
2014,1,1,23,30,84610,83570,82520,3.77,216.71,-1.31
2014,1,2,0,30,84580,83530,82490,4.12,214.45,-1.13
2014,1,2,1,30,84560,83510,82470,8.02,299.21,1.05
2014,1,2,2,30,84520,83470,82440,11.48,320.55,2.18
2014,1,2,3,30,84500,83440,82410,8,333.81,2.12
2014,1,2,4,30,84500,83450,82420,1.43,231.82,1.42
2014,1,2,5,30,84500,83450,82420,3.13,161.8,1.71
2014,1,2,6,30,84500,83440,82410,4.17,145.35,1.56
2014,1,2,7,30,84480,83420,82390,5.23,144.05,2.21
2014,1,2,8,30,84490,83430,82390,5.11,148.49,1.87
2014,1,2,9,30,84480,83430,82400,3.63,148.89,2.2
2014,1,2,10,30,84430,83400,82380,3.27,157.43,3.55
2014,1,2,11,30,84380,83360,82350,2.69,154.43,5.35
2014,1,2,12,30,84350,83330,82320,2.72,148.73,6.55
2014,1,2,13,30,84320,83290,82280,1.97,163.89,7.43
2014,1,2,14,30,84290,83260,82250,1.32,135.03,8.08
2014,1,2,15,30,84240,83200,82200,1.95,42.6,8.1
2014,1,2,16,30,84210,83180,82180,2.77,45.78,7.84
2014,1,2,17,30,84200,83170,82170,3.97,20.11,6.16
2014,1,2,18,30,84200,83170,82160,1.39,39.87,5.62
2014,1,2,19,30,84150,83110,82090,1.5,108.37,5.17
2014,1,2,20,30,84110,83060,82050,2.73,160.42,5.52
2014,1,2,21,30,84040,83000,82000,3.75,200.49,7.35
2014,1,2,22,30,84000,82950,81950,4.1,174.96,6.51
2014,1,2,23,30,83920,82890,81890,5.17,252.64,7.98
2014,1,3,0,30,83870,82830,81840,8.43,258.1,8.77
2014,1,3,1,30,83810,82790,81790,6.26,248.82,8.46
2014,1,3,2,30,83740,82720,81730,7.68,273.74,8.97
2014,1,3,3,30,83670,82650,81660,4.1,247.23,9.06
2014,1,3,4,30,83600,82590,81600,2.06,205.4,9.28
2014,1,3,5,30,83550,82540,81550,2.41,201.55,9.37
2014,1,3,6,30,83490,82480,81490,2.31,193.88,9.66
2014,1,3,7,30,83430,82420,81430,1.87,234.21,9.3
2014,1,3,8,30,83390,82380,81390,4.36,252.88,9.18
2014,1,3,9,30,83330,82330,81340,6.78,256.17,9.89
2014,1,3,10,30,83250,82250,81270,4.22,272.02,10.57
2014,1,3,11,30,83180,82180,81200,6.81,289.16,11.82
2014,1,3,12,30,83120,82110,81140,3.41,296.94,12.36
2014,1,3,13,30,83060,82070,81090,1.85,271.6,12.5
2014,1,3,14,30,83020,82000,81030,2.57,333.53,12.61
2014,1,3,15,30,82980,81930,80960,2.25,65.27,12.38
2014,1,3,16,30,82890,81900,80920,20.81,273.25,11.39
2014,1,3,17,30,82870,81910,80940,20.73,269.18,11.54
2014,1,3,18,30,82980,82000,81020,7.1,233.75,10.88
2014,1,3,19,30,82950,81990,81000,6.17,263.62,9.89
2014,1,3,20,30,82960,81960,80970,9.17,278.63,9.09
2014,1,3,21,30,82950,81940,80960,4.26,281,8.78
2014,1,3,22,30,82980,81930,80940,3.09,59.22,8.22
2014,1,3,23,30,82960,81930,80940,5.27,295.8,8.36
2014,1,4,0,30,83000,81970,80970,6.32,77.46,6.76
2014,1,4,1,30,83150,82120,81100,12.02,63.09,0.43
2014,1,4,2,30,83320,82280,81250,6.2,61.81,-1.74
2014,1,4,3,30,83360,82300,81280,3.79,86.73,-1.95
2014,1,4,4,30,83390,82340,81310,4.17,69.82,-2.47
2014,1,4,5,30,83460,82400,81370,7.35,32.5,-4.7
2014,1,4,6,30,83500,82440,81390,5.69,26.49,-4.84
2014,1,4,7,30,83530,82450,81410,3.49,36.06,-4.73
2014,1,4,8,30,83530,82460,81420,8.2,40.06,-5.65
2014,1,4,9,30,83560,82500,81450,8.12,44.25,-5.61
2014,1,4,10,30,83540,82470,81430,5.52,41.2,-5.14
2014,1,4,11,30,83530,82460,81420,4.72,48.31,-5.01
2014,1,4,12,30,83520,82450,81410,4.67,43.11,-5.1
2014,1,4,13,30,83530,82470,81430,5.81,40.7,-4.77
2014,1,4,14,30,83570,82510,81470,6.26,32.72,-4.71
2014,1,4,15,30,83640,82570,81530,6.72,39.29,-5.47
2014,1,4,16,30,83700,82630,81590,4.72,19.55,-4.83
2014,1,4,17,30,83760,82690,81650,3.51,46.22,-5.11
2014,1,4,18,30,83790,82720,81670,3.8,74.15,-5.5
2014,1,4,19,30,83810,82740,81690,3.73,48.1,-5.35
2014,1,4,20,30,83820,82750,81700,3.9,56.4,-5.63
2014,1,4,21,30,83860,82790,81730,2.24,61.51,-5.65
2014,1,4,22,30,83870,82790,81740,1.19,46.28,-5.67
2014,1,4,23,30,83870,82800,81750,0.77,85.97,-6.34
2014,1,5,0,30,83840,82770,81720,2.28,187.27,-5.83
2014,1,5,1,30,83830,82760,81710,3.05,206.62,-5.71
2014,1,5,2,30,83810,82730,81690,4.49,195.12,-5.54
2014,1,5,3,30,83780,82730,81690,4.07,263.32,-4.31
2014,1,5,4,30,83840,82770,81730,3.88,304.83,-3.88
2014,1,5,5,30,83870,82790,81750,7.09,313.97,-4.19
2014,1,5,6,30,83970,82910,81850,9.37,3.16,-7.84
2014,1,5,7,30,84080,83010,81940,12.14,348.78,-8.73
2014,1,5,8,30,84190,83090,82030,8.86,352.06,-9.26
2014,1,5,9,30,84230,83150,82080,6.83,11.66,-9.38
2014,1,5,10,30,84250,83180,82110,6.43,22.54,-9.57
2014,1,5,11,30,84290,83190,82120,5.65,28.13,-9.33
2014,1,5,12,30,84300,83210,82140,6.09,35.01,-9.67
2014,1,5,13,30,84370,83290,82210,8.5,37.5,-10.36
2014,1,5,14,30,84450,83360,82280,7.5,34.71,-10.64
2014,1,5,15,30,84480,83380,82310,6.19,37.13,-11.27
2014,1,5,16,30,84590,83490,82410,5.66,34.83,-11.81
2014,1,5,17,30,84650,83540,82460,4.8,51.58,-12.15
2014,1,5,18,30,84730,83610,82520,4.51,47.45,-12.64
2014,1,5,19,30,84770,83650,82560,4.59,61.46,-13.21
2014,1,5,20,30,84790,83650,82550,4.12,68.34,-13.52
2014,1,5,21,30,84770,83650,82550,3.27,57.13,-13.45
2014,1,5,22,30,84740,83620,82520,3.18,70.88,-13.45
2014,1,5,23,30,84660,83580,82480,2.78,86.05,-13.26
2014,1,6,0,30,84620,83540,82450,1.8,85.82,-12.94
2014,1,6,1,30,84590,83500,82410,1.58,12.27,-11.94
2014,1,6,2,30,84560,83460,82390,3.56,337.6,-10.07
2014,1,6,3,30,84520,83420,82340,5.78,327.22,-8.57
2014,1,6,4,30,84490,83390,82330,8.97,335.26,-7.56
2014,1,6,5,30,84480,83400,82330,8.61,334.39,-7.38
2014,1,6,6,30,84470,83400,82330,4.88,350.68,-7.1
2014,1,6,7,30,84460,83370,82310,2.96,338.79,-6.41
2014,1,6,8,30,84470,83390,82330,5.19,337.44,-5.52
2014,1,6,9,30,84480,83380,82330,5.71,346.99,-4.36
2014,1,6,10,30,84410,83340,82290,5.26,348.73,-3.47
2014,1,6,11,30,84370,83300,82260,4.52,356.47,-2.45
2014,1,6,12,30,84330,83270,82240,5.4,335.68,-0.8
2014,1,6,13,30,84320,83240,82220,9.16,316.94,1.53
2014,1,6,14,30,84270,83210,82180,13.54,315.88,3.14
2014,1,6,15,30,84230,83170,82150,7.53,304.16,3.07
2014,1,6,16,30,84210,83160,82140,4.04,274.47,3.61
2014,1,6,17,30,84210,83170,82160,2.34,233.33,3.35
2014,1,6,18,30,84200,83170,82150,2.89,244.9,3.86
2014,1,6,19,30,84170,83140,82120,5.05,282.25,3.99
2014,1,6,20,30,84100,83070,82060,16.74,269.93,5.23
2014,1,6,21,30,84060,83040,82030,17.84,271.9,5.24
2014,1,6,22,30,84010,82980,81970,17.19,280.71,5.19
2014,1,6,23,30,83970,82960,81950,17.82,282.04,5.96
2014,1,7,0,30,84010,82960,81950,18.44,278.09,6.56
2014,1,7,1,30,84000,82940,81940,18.49,278.22,6.95
2014,1,7,2,30,83950,82910,81910,19.61,275.75,7.36
2014,1,7,3,30,83890,82870,81870,20.07,274.05,8.07
2014,1,7,4,30,83860,82840,81850,21.56,276.84,8.8
2014,1,7,5,30,83840,82830,81830,20.52,277.57,8
2014,1,7,6,30,83860,82830,81820,14.86,272.48,7.33
2014,1,7,7,30,83850,82820,81820,2.4,158.25,7.82
2014,1,7,8,30,83830,82800,81800,1.21,207.94,8.01
2014,1,7,9,30,83810,82780,81780,1.32,117.07,7.92
2014,1,7,10,30,83780,82760,81760,4.13,105.69,9.11
2014,1,7,11,30,83750,82730,81740,2.32,71.98,9.3
2014,1,7,12,30,83740,82720,81730,1.91,59.11,9.03
2014,1,7,13,30,83780,82740,81740,2.62,28.3,8.44
2014,1,7,14,30,83740,82710,81710,3.77,59.1,8.85
2014,1,7,15,30,83710,82680,81680,4.08,34.73,8.52
2014,1,7,16,30,83700,82670,81670,7.54,324,8.7
2014,1,7,17,30,83720,82690,81690,1.29,48.62,6.61
2014,1,7,18,30,83740,82710,81710,0.34,289.48,6.64
2014,1,7,19,30,83720,82700,81690,12.05,293.68,6.4
2014,1,7,20,30,83700,82670,81670,10.14,298.69,5.79
2014,1,7,21,30,83730,82710,81700,7.58,300.07,5.39
2014,1,7,22,30,83730,82700,81690,8.29,286.65,5.31
2014,1,7,23,30,83740,82710,81700,1.73,11.59,4.71
2014,1,8,0,30,83800,82760,81740,3.87,334.66,3.52
2014,1,8,1,30,83810,82770,81760,4.41,326.5,4.04
2014,1,8,2,30,83780,82750,81730,1.17,327.18,2.62
2014,1,8,3,30,83790,82750,81730,1.46,62.58,2.14
2014,1,8,4,30,83840,82800,81780,2.25,11.44,1.21
2014,1,8,5,30,83880,82840,81800,5.42,341.58,0.56
2014,1,8,6,30,83910,82860,81830,4.03,356.4,-0.37
2014,1,8,7,30,83910,82860,81830,2.24,8.77,-0.65
2014,1,8,8,30,83920,82880,81840,2.02,244.01,-0.99
2014,1,8,9,30,83940,82890,81860,1.79,290.14,0.1
2014,1,8,10,30,83930,82880,81860,0.43,156.27,0.74
2014,1,8,11,30,83890,82850,81830,1.41,161.17,1.79
2014,1,8,12,30,83860,82820,81810,1.3,122.74,3.06
2014,1,8,13,30,83840,82810,81790,1.39,115.46,4.09
2014,1,8,14,30,83810,82790,81780,1.22,68.68,4.54
2014,1,8,15,30,83780,82760,81750,2.4,53.4,4.38
2014,1,8,16,30,83810,82770,81760,3.45,52.59,3.79
2014,1,8,17,30,83830,82800,81780,2.6,62.93,3.7
2014,1,8,18,30,83830,82800,81780,1.84,79.75,3.34
2014,1,8,19,30,83800,82760,81750,0.14,273.02,2.97
2014,1,8,20,30,83790,82750,81730,1.14,320.85,2.29
2014,1,8,21,30,83790,82750,81730,0.69,278.89,1.92
2014,1,8,22,30,83770,82730,81710,0.71,41.49,1.8
2014,1,8,23,30,83760,82710,81690,1.2,123.23,1.73
2014,1,9,0,30,83740,82690,81680,3.05,170,2.46
2014,1,9,1,30,83710,82670,81650,2.73,158.5,2.66
2014,1,9,2,30,83660,82610,81600,2.24,214.83,3.19
2014,1,9,3,30,83600,82560,81540,3.88,222.34,2.98
2014,1,9,4,30,83570,82520,81510,4.39,213.64,3.4
2014,1,9,5,30,83560,82510,81500,4.33,262.44,3.47
2014,1,9,6,30,83540,82490,81480,2.29,231.7,3.35
2014,1,9,7,30,83490,82450,81440,5.18,267.5,3.46
2014,1,9,8,30,83450,82420,81410,11.99,260.22,3.31
2014,1,9,9,30,83420,82400,81390,5.96,270.07,3.78
2014,1,9,10,30,83380,82350,81340,3.19,278.43,4.48
2014,1,9,11,30,83300,82270,81270,3.34,229.17,5.34
2014,1,9,12,30,83240,82220,81230,1.86,278,5.94
2014,1,9,13,30,83210,82190,81190,7.25,296.78,6.17
2014,1,9,14,30,83150,82140,81140,11.99,317.53,6.12
2014,1,9,15,30,83090,82080,81080,5.75,322.47,6.43
2014,1,9,16,30,83040,82030,81030,13.57,284.89,6.22
2014,1,9,17,30,83120,82070,81070,11.43,304.33,5.62
2014,1,9,18,30,83140,82100,81100,4.87,17.16,4
2014,1,9,19,30,83090,82060,81060,1.46,259.81,3.68
2014,1,9,20,30,83090,82050,81050,4,196.08,3.61
2014,1,9,21,30,83050,82020,81020,3.12,224.06,4.7
2014,1,9,22,30,83070,82030,81020,1.08,178.75,3.36
2014,1,9,23,30,83110,82080,81070,6.73,331.01,3.03
2014,1,10,0,30,83120,82090,81070,6.29,296.18,1.96
2014,1,10,1,30,83140,82100,81090,14.87,285.01,0.94
2014,1,10,2,30,83110,82080,81060,12.08,297.12,0.26
2014,1,10,3,30,83060,82030,81000,19.02,309.9,-0.54
2014,1,10,4,30,83080,82050,81030,13.66,295.66,-1.01
2014,1,10,5,30,82960,81940,80920,20.42,286.17,-1.25
2014,1,10,6,30,82940,81900,80880,25.34,280.45,-1.9
2014,1,10,7,30,82940,81900,80870,24.72,279.93,-1.72
2014,1,10,8,30,82910,81880,80860,22.32,279.58,-0.71
2014,1,10,9,30,82970,81930,80910,14.22,292.9,0.52
2014,1,10,10,30,83000,81970,80960,14.11,301.27,1.49
2014,1,10,11,30,83010,82000,80990,14.16,314.2,2.36
2014,1,10,12,30,83050,82010,81000,14.88,317.74,3.09
2014,1,10,13,30,83070,82040,81030,13.78,323.34,3.63
2014,1,10,14,30,83050,82030,81030,12.59,327.08,4.18
2014,1,10,15,30,83070,82060,81050,12.91,338.67,4.41
2014,1,10,16,30,83140,82140,81130,11.57,351.05,3.8
2014,1,10,17,30,83230,82230,81220,9.73,349.28,3.3
2014,1,10,18,30,83340,82320,81300,6.25,358.67,2.7
2014,1,10,19,30,83410,82370,81350,4.65,359.35,2.41
